additives_tags,brands,carbohydrates_100g,categories,countries,ecoscore_grade,energy_100g,fat_100g,fiber_100g,ingredients_text,labels,manufacturing_places,nutriscore_grade,origins,packaging,packaging_tags,product_name,proteins_100g,salt_100g,saturated-fat_100g,stores,sugars_100g
"['en:e322', 'en:e418']",Alpro,0.0,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa","Albânia,Áustria,Bélgica,Croácia,Finlândia,França,Alemanha,Grécia,Hungria,República da Irlanda,Luxemburgo,Países Baixos,Noruega,Polónia,Portugal,Reunião,Roménia,Espanha,Suécia,Suíça,Reino Unido",b,61.0,1.1,0.3,"Eau, amande (Espagne) (2,3%), calcium, sel marin de table, stabilisants [farine de graines de caroube, gomme gellane), émulsifiant (lécithines), vitamines B2, B12, E, D2. Peut contenir des traces de fruits à coque (pas d'arachides). Sans produits laitiers, ni gluten.","Baixo ou nenhum açúcar,Sem glúten,Vegetariano,Sem conservantes,Vegano,Fonte de cálcio,Empresa B Certificada,União Vegetariana Europeia,União Vegetariana Europeia Vegano,FSC,FSC Misto,Baixo teor de gordura saturada,Sem corantes,Sem leite,Sem açúcar,Nutriscore,Nutri-Score grau B,Sem adoçantes,Triman",,b,,"Kunststoff, Verbundstoff, Tetra Pak, Ziegel, Packung, Tetra Brik, Tetra Brik Aseptic, en:composite-carton","['en:composite-material', 'en:tetra-pak', 'en:tetra-brik', 'en:tetra-brik-aseptic', 'en:kunststoff', 'en:packung', 'en:verbundstoff', 'en:ziegel', 'en:composite-carton']",Lait d'Amande grillée sans Sucres,0.5,0.15,0.1,"Edeka,Carrefour,REMA 1000,Spar,K-Supermarket,Pingo Doce,Eroski",0.0
"['en:e150d', 'en:e338', 'en:e950', 'en:e951']",Coca-Cola,0.0,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink",España,not-applicable,0.9,0.0,0.0,"carbonated water, colour (caramel e150d), acid (phosphoric acid), sweeteners (aspartame, acesulfame k), natural flavourings (including caffeine), acidity regulator (sodium citrates) contains a source of phenylalanine,","Contains a source of phenylalanine, Green Dot, Made in France, Made in the EU, No added sugar, With sweeteners, es:Recicla-amarillo",,b,,"Metal,Recyclable Metals,Aluminium,Can,Drink can","['en:metal', 'en:recyclable-metals', 'en:aluminium', 'en:can', 'en:drink-can']",Coca-Cola zero azúcar,0.0,0.02,0.0,"Carrefour,Mercadona,Spar,Amazon",0.0
"['en:e150a', 'en:e150d', 'en:e290', 'en:e338']",Coca cola,10.6,"Napoje,Napoje gazowane,en:Sodas,Cola,en:Cola with sugar,Napoje słodzone","Albania,Algieria,Belgia,Bośnia i Hercegowina,Bułgaria,Chorwacja,Czechy,Francja,Niemcy,Węgry,Mauritius,Maroko,Polska,Reunion,Rumunia,Rosja,Serbia,Słowacja,Szwajcaria",not-applicable,180.0,0.0,0.0,"Wasser, Kohlensäure, Farbstoff, Zuckerkulör (E150d), Zucker, Säuerungsmittel E338, natürliche Aromen inkl. Koffein.","Bez konserwantów,en:Green Dot,Aromat naturalny,Triman",رويبة,e,,Plastic,['en:plastic'],Coca-Cola 2l,0.0,0.0,0.0,Netto,10.6
"['en:e340', 'en:e340ii']",Oatly,6.6,"Beverages,Oat-based drinks,Plant-based beverages","France,Germany,Ireland,United Kingdom",b,247.0,3.0,0.8,"Water, _OATS_ 10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (D2, riboflavin and B12).","Vegetarian,Vegan,Carbon footprint,FSC,FSC Mix,No milk,No soy,Natural sugars from oats",,b,,"Tetra Pak,Container,Card-carton,FSC Mix Board,Hdpe-cap,Paper carton,Plastic cap,Produkt","['en:tetra-pak', 'en:container', 'en:card-carton', 'en:fsc-mix-board', 'en:hdpe-cap', 'en:paper-carton', 'en:plastic-cap', 'en:produkt']",Oat Drink Barista Edition,1.0,0.1,0.3,"Co-op Food,Tesco Extra,Sainsbury's,Tesco,Asda,Lidl,Waitrose",4.0
['en:e418'],Alpro,5.6,Hafermilch,Spain,b,169.0,1.5,1.2,"Haferbasis (Wasser,  Hafer (8,7%)), Zichorienwurzelfasern, Sonnenblumenöl, Calciumcarbonat, Meersalz, Stabilisator (Gellan), Vitamine (B2, B12, D2)","FSC, Nutriscore, Com Óleo De Girassol, Empresa B Certificada, Enrichedwihvitamins, Fsc Misto, Nutriscore Grau A, Ponto Verde, Rico Em Cálcio, Sem Açúcares Adicionados, Sem Corantes, Sem Lactose, Sem Leite, União Vegetariana Europeia, União Vegetariana Europeia Vegano, Vegano, Vegetariano, en:nutriscore-grade-a",,a,,"Tetra Pak,Composite-carton,Tetra Brik Aseptic,hu:Produkt","['en:tetra-pak', 'en:composite-carton', 'en:tetra-brik-aseptic', 'hu:produkt']",Ohne Zucker Hafer,0.2,0.09,0.2,K-Supermarket,0.0
[],Nestlé,9.1,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons à base de végétaux, Cafés, Boissons instantanées, Cafés solubles, Chicorée soluble, Chicorée et café en poudre soluble","France,Allemagne,Suisse",e,577.0,0.5,45.3,"Café soluble 33,2%, fibres de chicorée (oligofructose) 33%, chicorée soluble 30%, sulfate de magnésium.","Fabriqué en France, Nutriscore, Nutriscore A, Triman",France,e,"Chicorée de France et Inde,Chicorée principalement du nord de la France,Café origine non UE","Boîte,Boîte de conserve ou canette,Conserve,Canette,Boîte en métal","['en:box', 'en:can', 'en:canned', 'en:drink-can', 'fr:boite-en-metal']","RICORE Original, Café & Chicorée, Boîte 260g",2.7,0.23,0.1,"carrefour.fr,Intermarché",9.1
"['en:e150d', 'en:e290', 'en:e338']",Coca cola,10.8,"Beverages and beverages preparations, Beverages, Carbonated drinks, Sodas, Colas, en:sweetened-beverages",Italy,not-applicable,176.0,0.0,,"water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine)","Ponto Verde,Ecoponto-amarelo",Portugal,unknown,,"Plastika,en:pe-polyethylene,en:hdpe-high-density-polyethylene,en:pet-polyethylene-terephthalate,Boca,fr:Bouchon en plastique,it:bottiglia pet,pt:Pet-bottle,pt:Pp-lid,pt:Stück","['en:plastic', 'en:pe-7-polyethylene', 'en:bottle-or-vial', 'en:hdpe-2-high-density-polyethylene', 'en:pet-1-polyethylene-terephthalate', 'en:bottle', 'fr:bouchon-en-plastique', 'it:bottiglia-pet', 'pt:pet-bottle', 'pt:pp-lid', 'pt:stuck']",Coca cola,0.0,,,"Carrefour,ICA",10.8
[],Poulain,55.0,"Boissons, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Chocolats en poudre, en:B","France,Martinique",d,1475.0,5.8,17.0,"Cacao maigre (11% de beurre de cacao) en poudre (50%), sucre, arôme. Peut contenir lait et soja.","Point Vert, Triman, en:32",,a,"Africa,fr:Fèves de cacao d'origine Afrique",,[],1848 Chocolat en poudre,11.0,0.02,3.6,,47.0
[],Vittel,,"Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux minérales naturelles, Boissons sans sucre ajouté","Belgium,France,Luxembourg,en:france",not-applicable,,,,"Minéralisation caractéristique (mg/L) : Calcium 240 / Magnésium 42 / Sodium 5,2 / Sulfate 400 / Hydrogénocarbonate 384 / Nitrate 4,4 / Résidu sec à 180°C : 1084. pH = 7,6.","Point Vert, Nutriscore, Nutriscore A, Triman, Source thermale",France  Vittel,a,France,"Bouteille, Bouchon en plastique, Bouchon plastique, Bouteille en plastique, Bouteille plastique","['en:bottle', 'fr:bouchon-en-plastique', 'fr:bouchon-plastique', 'fr:bouteille-en-plastique', 'fr:bouteille-plastique']",eau minerale,,0.013,,,
[],Hépar,0.0001,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale naturelle non gazeuse","France, en:belgium",not-applicable,0.0001,0.0001,0.0001,Pour 100ml : Calcium = 549mg / Magnésium = 119mg / Sodium = 14.2mg / Sulfate = 1530mg / Hydrogénocarbonate = 387.3mg / Nitrate = 4.3mg / Résidu sec à 180°C = 2513mg / pH 7.2,"Point Vert, Nutriscore, Nutriscore A, Triman",France,a,"France,Eau minérale des Vosges","Bouchon en plastique,Bouteille en plastique","['fr:bouchon-en-plastique', 'fr:bouteille-en-plastique']",hepar,0.0001,0.0001,0.0001,Intermarché,0.0001
